symbol,date,price
ABBV,2022/01/28,137.92
ACN,2022/01/28,342.85
AEP,2022/01/28,90.13
AIZ,2022/01/28,151.05
ALLE,2022/01/28,121.21
AMAT,2022/01/28,132.45
AMP,2022/01/28,298.09
AMZN,2022/01/28,2879.56
AVB,2022/01/28,243.36
AVY,2022/01/28,199.5
AXP,2022/01/28,177.06
BDX,2022/01/28,255.73
BF-B,2022/01/28,67.25
BMY,2022/01/28,64.91
BR,2022/01/28,154.15
CARR,2022/01/28,46.45
CDW,2022/01/28,184.53
CE,2022/01/28,153.18
CHTR,2022/01/28,590.47
CNC,2022/01/28,77.27
CNP,2022/01/28,27.86
COP,2022/01/28,89.22
CTAS,2022/01/28,386.31
CZR,2022/01/28,72.97
DG,2022/01/28,204.33
DPZ,2022/01/28,441.01
DRE,2022/01/28,57.19
DXC,2022/01/28,29.66
EWA,2022/01/28,22.57
EWC,2022/01/28,37.32
EWG,2022/01/28,31.48
EWH,2022/01/28,23.47
EWJ,2022/01/28,62.75
EWL,2022/01/28,48.68
EWQ,2022/01/28,37.45
EWT,2022/01/28,62.75
EWU,2022/01/28,33.74
EWY,2022/01/28,70.6
EWZ,2022/01/28,31.15
FB,2022/01/28,301.71
FTV,2022/01/28,69.71
GOOG,2022/01/28,2665.79
GPC,2022/01/28,130.33
GSG,2022/01/28,19.02
HIG,2022/01/28,71.2
HIGH.L,2022/01/28,5.432
HST,2022/01/28,16.78
HYG,2022/01/28,84.68
IAU,2022/01/28,34.03
ICLN,2022/01/28,17.76
IEAA.L,2022/01/28,5.278
IEF,2022/01/28,112.57
IEFM.L,2022/01/28,759.5
IEMG,2022/01/28,57.8
IEUS,2022/01/28,63.477
IEVL.L,2022/01/28,7.502
IGF,2022/01/28,46.53
INDA,2022/01/28,44.79
IUMO.L,2022/01/28,10.83
IUVL.L,2022/01/28,9.035
IVV,2022/01/28,443.75
IWM,2022/01/28,195.25
IXN,2022/01/28,57.86
JPEA.L,2022/01/28,5.748
JPM,2022/01/28,146.61
KR,2022/01/28,43.47
LQD,2022/01/28,127.7
MCHI,2022/01/28,59.81
MVEU.L,2022/01/28,53.47
OGN,2022/01/28,31.45
PG,2022/01/28,160.5
PPL,2022/01/28,29.68
PRU,2022/01/28,110.19
PYPL,2022/01/28,163.52
RE,2022/01/28,280.75
REET,2022/01/28,28.25
ROL,2022/01/28,29.96
ROST,2022/01/28,95.77
SEGA.L,2022/01/28,107.7
SHY,2022/01/28,84.95
SLV,2022/01/28,20.71
SPMV.L,2022/01/28,77.68
TLT,2022/01/28,143.13
UNH,2022/01/28,466.06
URI,2022/01/28,317.77
V,2022/01/28,228
VRSK,2022/01/28,193.29
VXX,2022/01/28,22.95
WRK,2022/01/28,44.42
XLB,2022/01/28,83.22
XLC,2022/01/28,72.31
XLE,2022/01/28,65.63
XLF,2022/01/28,38.72
XLI,2022/01/28,99.7
XLK,2022/01/28,158
XLP,2022/01/28,75.68
XLU,2022/01/28,67.96
XLV,2022/01/28,130.48
XLY,2022/01/28,178.1
XOM,2022/01/28,75.28
ABBV,2022/01/31,136.89
ACN,2022/01/31,353.58
AEP,2022/01/31,90.4
AIZ,2022/01/31,152.51
ALLE,2022/01/31,122.73
AMAT,2022/01/31,138.18
AMP,2022/01/31,304.31
AMZN,2022/01/31,2991.47
AVB,2022/01/31,244.23
AVY,2022/01/31,205.42
AXP,2022/01/31,179.82
BDX,2022/01/31,254.14
BF-B,2022/01/31,67.43
BMY,2022/01/31,64.89
BR,2022/01/31,159.22
CARR,2022/01/31,47.68
CDW,2022/01/31,189.05
CE,2022/01/31,155.71
CHTR,2022/01/31,593.34
CNC,2022/01/31,77.76
CNP,2022/01/31,28.36
COP,2022/01/31,88.62
CTAS,2022/01/31,391.53
CZR,2022/01/31,76.14
DG,2022/01/31,208.48
DPZ,2022/01/31,454.65
DRE,2022/01/31,57.78
DXC,2022/01/31,30.08
EWA,2022/01/31,22.84
EWC,2022/01/31,38.19
EWG,2022/01/31,32.01
